Student,LPIPS,SSIM
113590005.png,0.0,1.0
113590047.png,0.15029026567935944,0.83597380490771
113590004.png,0.17189446091651917,0.8521862096565578
113590043.png,0.19782128930091858,0.8637370009282288
113590025.png,0.19833898544311523,0.8604423995812234
111590047.png,0.24861879646778107,0.7522831059578952
111590042.png,0.266804575920105,0.8667333170938593
113590039.png,0.2734353244304657,0.7616290835652849
113590060.png,0.2754427194595337,0.7733069816393277
113590026.png,0.2842986285686493,0.734316466528875
113590033.png,0.2880327105522156,0.740803142908585
113590032.png,0.2907811105251312,0.7513840236627438
113370239.png,0.2982104420661926,0.7319622037487203
113590051.png,0.3031885623931885,0.7419983419035451
111590062.png,0.3039363920688629,0.7401956289399196
113590031.png,0.3064524829387665,0.7026105672383459
113590001.png,0.3216959238052368,0.6979490957407243
111590028.png,0.32255685329437256,0.7458395045666749
113590040.png,0.32880204916000366,0.7116152164479652
113590003.png,0.342642605304718,0.7265813898970325
113590061.png,0.34667447209358215,0.7261512589615599
112590455.png,0.3511487543582916,0.7054122230752554
110590455.png,0.35570359230041504,0.7223466972284086
113590010.png,0.3567405939102173,0.6642539250536658
113590056.png,0.35852712392807007,0.7008298323286601
113590015.png,0.360274076461792,0.6896140025556228
113590044.png,0.3649800717830658,0.6851121209203489
112590454.png,0.3694983720779419,0.689101329969267
114054809.png,0.37791168689727783,0.717689313184609
113590052.png,0.3799894154071808,0.6683446863186925
113590021.png,0.39203712344169617,0.6580929463163898
113590022.png,0.39676812291145325,0.6901219843467183
113AC1012.png,0.40020743012428284,0.6976931367272318
113590057.png,0.4042741656303406,0.6689946231450545
113590045.png,0.4065530300140381,0.6523833600212332
112590452.png,0.4073230028152466,0.6786836357225334
112590040.png,0.42222872376441956,0.6721278470931273
113AB0018.png,0.4235282838344574,0.6634656156317117
113590036.png,0.42445048689842224,0.6448994688713983
113590062.png,0.4258166253566742,0.6391248757676122
113590028.png,0.44599318504333496,0.6182982682469158
113590006.png,0.4487279951572418,0.5837709857273466
113590042.png,0.4508261978626251,0.6266294457830346
113590018.png,0.4610939025878906,0.6364312128041616
113590002.png,0.46874430775642395,0.6467556499479152
113590050.png,0.46894192695617676,0.599674388122137
113590011.png,0.4752030372619629,0.6263015594236047
113590059.png,0.47898542881011963,0.5844286766408706
113590023.png,0.48945942521095276,0.5739656388934237
111590455.png,0.5135047435760498,0.5841840167391977
113590049.png,0.5327410101890564,0.5228854839731027
113590008.png,0.5895792245864868,0.48655677212553267
112590058.jpg,0.594831109046936,0.442942061243196
